YEAR,PIB_CORRIENTE
1993,1560093.28625
1994,1781422.46025
1995,2311458.45275
1996,3123167.9387499997
1997,3962524.1662500002
1998,4810123.454
1999,5738466.3692499995
2000,6693683.01375
2001,7069377.272
2002,7455459.195
2003,7868809.55275
2004,8828367.434
2005,9562648.113
2006,10630939.42625
2007,11504075.51225
2008,12353845.280749999
2009,12162762.846
2010,13366377.17125
2011,14665576.472
2012,15817754.583999999
2013,16277187.078
2014,17473841.53725
2015,18551459.266
2016,20116688.53575
2017,21921241.895
2018,23542737.230750002
